"COUNTRY_CODE","RECORD_SOURCE","ID","AUDIT_MODIFIEDBY","AUDIT_MODIFIEDDATE","DEPRECATO","INFO_IDESTERNO","INFO_IDISTANZAATTIVITAMASSIVA","INFO_DATA","AUDIT_CREATEDBY","AUDIT_CREATEDDATE","INFO_ORIGINEINFORMAZIONE","CORRENTE","DATAFINEVALIDITA","DATAFINEVALIDITAPREVISTA","DATAINIZIOVALIDITA","NOTA","ORIGINEELEMENTO","VERSION","ELEMENTOORGANIZZATIVOASSEGNANTE_ID","ELEMENTOORGANIZZATIVOBUSINESSUNITPROPOSTA_ID","ELEMENTOORGANIZZATIVOPERSONAPROPOSTA_ID","ELEMENTOORGANIZZATIVOREFERENTE_ID","INFOENTITA_ID","RUOLOREFERENTEENTITA_ID","CODICEASSEGNAZIONE","CODICEGRUPPOASSEGNAZIONE","LOAD_DATETIME"
IT,LAWEB,"34,924,124",680,2025-11-25 18:48:58.247,,,,,680,2025-11-25 18:48:58.247,,true,,,2025-11-25 18:48:58.209,,,0,,,,"3,000","5,491,374","1,005",,,2025-11-25 18:48:58.247
IT,LAWEB,"34,924,123",680,2025-11-25 18:48:58.166,,,,,680,2025-11-25 18:48:58.166,,true,,,2025-11-25 18:48:58.132,,,0,,,,"3,000","5,038,168","1,013",,,2025-11-25 18:48:58.166
IT,LAWEB,"34,924,122",680,2025-11-25 18:48:32.907,,,,,680,2025-11-25 18:48:32.907,,true,,,2025-11-25 18:48:32.701,,,0,,,,"179,132","5,491,375","1,006",,,2025-11-25 18:48:32.907
IT,LAWEB,"34,924,121",680,2025-11-25 18:48:32.782,,,,,680,2025-11-25 18:48:32.782,,true,,,2025-11-25 18:48:32.701,,,0,,,,"179,132","5,491,374","1,006",,,2025-11-25 18:48:32.782
IT,LAWEB,"34,924,120","1,496",2025-11-25 18:38:24.781,,,,,"1,496",2025-11-25 18:38:24.781,,true,,,2025-11-25 18:38:24.712,,,0,,,,"3,011","5,484,984","1,005",,,2025-11-25 18:38:24.781
IT,LAWEB,"34,924,119","1,496",2025-11-25 18:38:24.671,,,,,"1,496",2025-11-25 18:38:24.671,,true,,,2025-11-25 18:38:24.521,,,0,,,,"3,011","4,572,912","1,013",,,2025-11-25 18:38:24.671
IT,LAWEB,"34,924,118","1,496",2025-11-25 18:38:24.593,,,,,"1,496",2025-11-25 18:38:24.593,,true,,,2025-11-25 18:38:24.521,,,0,,,,"3,011","4,572,893","1,013",,,2025-11-25 18:38:24.593
IT,LAWEB,"34,924,117",680,2025-11-25 18:36:29.643,,,,,680,2025-11-25 18:36:29.643,,true,,,2025-11-25 18:36:29.582,,,0,,,,"6,405,728","5,401,159","1,098",,,2025-11-25 18:36:29.643
IT,LAWEB,"34,924,116",680,2025-11-25 18:36:29.573,,,,,680,2025-11-25 18:36:29.573,,true,,,2025-11-25 18:36:29.439,,,0,,,,"6,405,728","5,491,373","1,097",,,2025-11-25 18:36:29.573
IT,LAWEB,"34,924,115",680,2025-11-25 18:35:32.809,,,,,680,2025-11-25 18:35:32.809,,true,,,2025-11-25 18:35:32.749,,,0,,,,"6,405,728","5,039,978","1,098",,,2025-11-25 18:35:32.809
IT,LAWEB,"34,924,114",680,2025-11-25 18:35:32.743,,,,,680,2025-11-25 18:35:32.743,,true,,,2025-11-25 18:35:32.631,,,0,,,,"6,405,728","5,491,372","1,097",,,2025-11-25 18:35:32.743
IT,LAWEB,"34,924,113",680,2025-11-25 18:34:42.400,,,,,680,2025-11-25 18:34:42.400,,true,,,2025-11-25 18:34:42.355,,,0,,,,"6,405,728","5,038,707","1,098",,,2025-11-25 18:34:42.400
IT,LAWEB,"34,924,112",680,2025-11-25 18:34:42.346,,,,,680,2025-11-25 18:34:42.346,,true,,,2025-11-25 18:34:42.251,,,0,,,,"6,405,728","5,491,371","1,097",,,2025-11-25 18:34:42.346
IT,LAWEB,"34,924,111",346,2025-11-25 18:27:04.401,,,,,346,2025-11-25 18:27:04.401,,true,,,2025-11-25 18:27:04.400,,,0,,,,"3,176","1,777,126","1,084",,,2025-11-25 18:27:04.401
IT,LAWEB,"34,924,110",346,2025-11-25 18:27:04.368,,,,,346,2025-11-25 18:27:04.368,,true,,,2025-11-25 18:27:04.367,,,0,,,,"3,176","366,584","1,046",,,2025-11-25 18:27:04.368
IT,LAWEB,"34,924,109",346,2025-11-25 18:26:55.199,,,,,346,2025-11-25 18:26:55.199,,true,,,2025-11-25 18:26:55.198,,,0,,,,"3,176","1,740,044","1,084",,,2025-11-25 18:26:55.199
IT,LAWEB,"34,924,108",346,2025-11-25 18:26:55.158,,,,,346,2025-11-25 18:26:55.158,,true,,,2025-11-25 18:26:55.157,,,0,,,,"3,176","814,122","1,046",,,2025-11-25 18:26:55.158
IT,LAWEB,"34,924,107",346,2025-11-25 18:26:45.959,,,,,346,2025-11-25 18:26:45.959,,true,,,2025-11-25 18:26:45.959,,,0,,,,"3,176","1,827,243","1,084",,,2025-11-25 18:26:45.959
IT,LAWEB,"34,924,106",346,2025-11-25 18:26:45.935,,,,,346,2025-11-25 18:26:45.935,,true,,,2025-11-25 18:26:45.935,,,0,,,,"3,176","401,515","1,046",,,2025-11-25 18:26:45.935
IT,LAWEB,"34,924,105",346,2025-11-25 18:26:36.743,,,,,346,2025-11-25 18:26:36.743,,true,,,2025-11-25 18:26:36.742,,,0,,,,"3,176","1,754,473","1,084",,,2025-11-25 18:26:36.743
IT,LAWEB,"34,924,104",346,2025-11-25 18:26:36.718,,,,,346,2025-11-25 18:26:36.718,,true,,,2025-11-25 18:26:36.717,,,0,,,,"3,176","286,876","1,046",,,2025-11-25 18:26:36.718
