"COUNTRY_CODE","RECORD_SOURCE","ID","AUDIT_MODIFIEDBY","AUDIT_MODIFIEDDATE","DEPRECATO","INFO_IDESTERNO","INFO_IDISTANZAATTIVITAMASSIVA","INFO_DATA","AUDIT_CREATEDBY","AUDIT_CREATEDDATE","INFO_ORIGINEINFORMAZIONE","BENEFICIARIOESTENSIONEBENEFICI","CLASSEBENEPEGNO","CLASSEGARANZIA","CODICEIDENTIFICATIVOGARANZIACONSORTILE","CODICEORIGINARIO","CONCESSIONEESTENSIONEBENEFICI","CONSOLIDABILE","CONSOLIDATA","CONTROGARANZIA","COPERTURAGARANZIA","CORRISPONDEALLADATACERTA","DATAACQUISIZIONE","DATAATTO","DATACONSOLIDAMENTO","DATAESCUSSIONE","DATAESTINZIONE","DATAISCRIZIONE","DATARINNOVO","DATARINUNCIA","DATASCADENZA","GARANZIAREALESUCCESSIVA","NUMEROATTO","PERCENTUALECONTROGARANZIA","PERCENTUALEGARANZIA","PERIODOCONSOLIDAMENTO","PRESTATAINVIASOLIDALE","REGISTROGENERALE","REGISTROPARTICOLARE","STATOGARANZIA","TITOLARITABENIIPOTECATI","VALOREALDEFAULT","VALOREESCUSSO","VALOREMASSIMOGARANTITO","VALORENOMINALE","VALOREPRESTITO","VALORERIVALUTATO","VERSION","INFOENTITA_ID","NATURAATTO_ID","POSIZIONE_ID","SOTTOTIPOGARANZIA_ID","TIPOGARANZIA_ID","ELEMENTOORGANIZZATIVOCONSERVATORIA_ID","CONTESTATA","ESCUSSA","PREVEDESEGNALAZIONEBI","RINNOVATA","VALORENOMINALEPOZIORI","VALORERESIDUOPOZIORI","CONTROGARANZIAPROPRIA","DATADELIBERACONTROGARANTE","DATALIBERAZIONE","IMPORTOACCANTONATO","IMPORTONONACCANTONATO","LIBERATA","NOMECOMPLETOCONSORZIOGARANZIA","NONRINNOVABILE","VALORERESIDUO","CAUSALENONRINNOVABILITA_ID","TIPOESTINZIONEGARANZIA_ID","CODICEIDENTIFICATIVOCAVEAU","CODICERIFERIMENTOSOTTOSISTEMA1","CODICERIFERIMENTOSOTTOSISTEMA2","CODICERIFERIMENTOSOTTOSISTEMA3","CODICERIFERIMENTOSOTTOSISTEMA4","CODICERIFERIMENTOSOTTOSISTEMA5","DATACONTESTAZIONE","FONDIARIO","MATERIALITA","NUMEROGARANZIA","NUMEROPREATTO","RACCOLTA","REPERTORIO","SOLVIBILITA","ELEMENTOORGANIZZATIVOFILIALEORIGINE_ID","STATOGARANZIAESTESO_ID","ATTOMUTUO_ID","IPOTECAFRAZIONATA","PERCASSETNONFINANZIATO","VALOREASSETAGARANZIA","DESCRIZIONELINEAGARANTITA","CODICEIDENTIFICATIVOCONTROGARANZIA","CONTATTOCREDITOREORIGINARIO_ID","VALOREGARANTITO"
IT,LAWEB,1,-1,"2017-04-01 21:06:57.350",,"2703_1",,,-1,"2017-04-01 21:06:57.350",1,,,1,,"392726",,,,,0,,"1997-12-30 00:00:00.000",,,,,,,,,false,,,,0,true,,,1,0,,0,,0,,,1,"1,481,635",,"681,335",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,2,-1,"2017-04-01 21:06:57.350",,"23611_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-03-16 00:00:00.000","2012-03-16 00:00:00.000","2012-09-16 00:00:00.000",,,,,,,,"12871",,,1,,,"1731",1,2,,,,"20,000","10,008.94",,1,,,"757,650",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,3,-1,"2017-04-01 21:06:57.350",,"23612_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-03-16 00:00:00.000",,"2012-09-16 00:00:00.000",,,,,,,,,,,1,,,,1,2,,,,"20,000","10,008.94",,1,,,"757,651",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,5,-1,"2017-04-01 21:06:57.350",,"26420_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2001-11-22 00:00:00.000",,"2002-05-22 00:00:00.000",,,,"2021-11-22 00:00:00.000",,,,,,,1,,,,1,1,,,,"72,303.97","36,158.98",,1,,,"486,807",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,6,-1,"2017-04-01 21:06:57.350",,"28014_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2009-06-08 00:00:00.000","2009-06-08 00:00:00.000","2009-12-08 00:00:00.000",,,,"2029-06-08 00:00:00.000",,,,"68462",,,1,,,"14191",1,1,,,,"22,450","11,221.01",,1,,,"537,701",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,7,-1,"2017-04-01 21:06:57.350",,"33544_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-02-01 00:00:00.000","2010-02-01 00:00:00.000","2011-02-01 00:00:00.000",,,,,,,,"6702",,,2,,,"1208",1,1,,,,"20,000","10,201.72",,1,,,"761,062",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,8,-1,"2017-04-01 21:06:57.350",,"33917_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-02-24 00:00:00.000","2011-02-24 00:00:00.000","2011-08-24 00:00:00.000",,,,,,,,"21717",,,1,,,"4466",1,1,,,,"20,000","11,716.7",,1,,,"426,837",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,9,-1,"2017-04-01 21:06:57.350",,"36457_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-08-10 00:00:00.000","2010-08-10 00:00:00.000","2011-02-10 00:00:00.000",,,,,,,,"18469",,,1,,,"2464",1,1,,,,"45,000","39,063.42",,1,,,"653,837",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,10,-1,"2017-04-01 21:06:57.350",,"41897_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-03-28 00:00:00.000","2011-03-28 00:00:00.000","2012-03-28 00:00:00.000",,,,,,,,"10159",,,2,,,"1382",1,2,,,,"24,000","15,063.4",,1,,,"714,113",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,11,-1,"2017-04-01 21:06:57.350",,"42240_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2011-01-17 00:00:00.000","2011-01-17 00:00:00.000","2012-01-17 00:00:00.000",,,,,,,,"1188",,,2,,,"142",1,1,,,,"25,000","20,567.31",,1,,,"762,436",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,12,-1,"2017-04-01 21:06:57.350",,"44129_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2009-09-16 00:00:00.000",,"2010-03-16 00:00:00.000",,,,,,,,,,,1,,,,1,1,,,,"10,000","20,000",,1,,,"764,504",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,16,-1,"2017-04-01 21:06:57.350",,"47025_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2012-10-12 00:00:00.000","2012-10-12 00:00:00.000","2013-04-12 00:00:00.000",,,,,,,,"48378",,,1,,,"4288",1,1,,,,"21,000","15,272.49",,1,,,"657,387",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,17,-1,"2017-04-01 21:06:57.350",,"47422_1",,,-1,"2017-04-01 21:06:57.350",1,,,1,,,,,,,0,,,,,,,,,,,false,,,,0,true,,,1,0,,0,,0,,,1,,,"486,820",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,18,-1,"2017-04-01 21:06:57.350",,"47422_2",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2001-04-27 00:00:00.000","2001-04-27 00:00:00.000","2001-10-27 00:00:00.000",,,,,,,,"9053",,,1,,,"1776",1,1,,,,"113,620.52","56,810.26",,1,,,"486,820",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,19,-1,"2017-04-01 21:06:57.350",,"54416_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2013-02-20 00:00:00.000","2013-02-20 00:00:00.000","2013-08-20 00:00:00.000",,,,,,,,"10093",,,1,,,"668",1,2,,,,"20,000","11,852.44",,1,,,"56,359",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,20,-1,"2017-04-01 21:06:57.350",,"61190_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-08-03 00:00:00.000","2010-08-03 00:00:00.000","2011-02-03 00:00:00.000",,,,"2030-08-03 00:00:00.000",,,,"22387",,,1,,,"4374",1,1,,,,"26,000","13,015.98",,1,,,"125,519",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,21,-1,"2017-04-01 21:06:57.350",,"79875_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2010-07-21 00:00:00.000","2010-07-21 00:00:00.000","2011-01-21 00:00:00.000",,,,,,,,"5060",,,1,,,"29825",1,1,,,,"18,000","10,930.33",,1,,,"483,365",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,LAWEB,23,-1,"2017-04-01 21:06:57.350",,"83245_1",,,-1,"2017-04-01 21:06:57.350",1,,,2,,,false,true,false,,0,,"2009-02-13 00:00:00.000",,"2009-08-13 00:00:00.000",,,,,,,,,,,1,,,,1,1,,,,"230,000","115,000",,1,,,"486,783",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
